epoch,split,loss,acc,rpd,polar,psnr_qtls,psnr_mean,inv_lap,l1,l2
0,train,nan,0.006250,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
0,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
1,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
1,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
2,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
2,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
3,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
3,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
4,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
4,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
5,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
5,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
6,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
6,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
7,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
7,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
8,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
8,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
9,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
9,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
10,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
10,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
11,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
11,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
12,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
12,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
13,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
13,val,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
14,train,nan,0.000000,nan,nan,"[nan, nan, nan, nan, nan]",nan,nan,nan,nan
